system:index,B2,B3,B4,.geo
1_0_0,822,1108,1742,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,852,1046,1608,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,1016,1728,2812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,484,724,992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,572,949,1532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,546,908,1100,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,1180,1732,2274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,608,828,1266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,581,803,956,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,2230,2858,2810,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,420,744,896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,1570,1912,2368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,1246,1628,2336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,540,822,896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,654,963,1498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,660,893,1128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,1018,1548,2186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,674,968,1074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,1080,1224,1446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,1088,1352,1434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,628,1076,982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,611,974,1082,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,421,756,753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_0,1346,1454,1944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_0,618,856,1078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25_0,725,1028,1266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26_0,799,1206,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27_0,782,1250,1976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28_0,1318,1264,1540,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29_0,1302,1736,2430,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30_0,1050,1116,1758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31_0,1702,2096,2548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32_0,676,990,1804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33_0,893,1226,1294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34_0,994,1302,1658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35_0,723,1066,1282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36_0,1378,1796,2410,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37_0,856,1236,1574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38_0,1744,2010,2546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39_0,1330,1652,2070,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40_0,1404,1628,1860,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41_0,1684,2016,2756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42_0,958,1560,2454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43_0,871,1252,1356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44_0,1486,1806,2940,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45_0,845,1316,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46_0,1036,1498,1808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47_0,2280,2776,3428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48_0,596,975,1536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49_0,849,1032,998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50_0,460,794,1106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51_0,868,1218,1664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52_0,534,861,1402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53_0,520,940,1344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54_0,694,1098,1570,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55_0,1054,1330,1620,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56_0,948,1202,2170,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57_0,1238,1592,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58_0,500,836,1360,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59_0,1038,1398,1570,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60_0,738,1080,1106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61_0,702,1108,1192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62_0,1206,1874,2866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63_0,625,948,1120,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64_0,543,930,1096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65_0,485,854,1158,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66_0,411,658,790,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67_0,889,1182,1650,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68_0,602,976,1332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69_0,534,784,897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70_0,838,1324,1774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71_0,446,795,850,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72_0,648,1028,965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73_0,682,950,1094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74_0,678,1014,1026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,453,874,624,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,349,630,464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,310,623,429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,277,576,319,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,364,684,487,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,292,586,382,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_0,423,988,539,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,446,1038,506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,224,491,241,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_0,229,449,230,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10_0,281,570,390,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_0,258,505,368,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_12_0,376,986,513,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13_0,340,608,446,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14_0,306,600,366,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15_0,310,648,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_16_0,275,537,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_17_0,242,496,286,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_18_0,264,534,302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_19_0,270,560,293,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20_0,375,716,436,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_21_0,305,666,350,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_22_0,322,710,384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_23_0,263,587,324,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_24_0,304,610,334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_25_0,247,718,354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_26_0,251,634,351,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_27_0,394,686,558,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_28_0,332,544,456,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_29_0,417,706,621,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_30_0,262,503,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_31_0,226,481,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_32_0,246,570,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_33_0,267,540,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_34_0,280,532,314,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_35_0,253,586,336,"{""type"":""MultiPoint"",""coordinates"":[]}"
