system:index,B2,B3,B4,B5,B6,B7,.geo
1_0_0,768,1153,1303,1816,2538,2848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,705,1116,1260,2195,3127,3365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,829,1330,2012,2617,3675,3760,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,1236,1738,2123,2753,3387,3520,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,1105,1518,1836,2321,3010,3397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,769,1141,1538,2053,2717,2999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,1409,1834,2293,2683,3222,3375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,752,1081,1333,1928,2540,2787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,1038,1400,1640,2248,3122,3409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,831,1188,1276,2044,3378,3588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,839,1208,1451,2115,2978,3280,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,433,780,861,1578,2999,3382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,433,780,861,1578,2999,3382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,501,801,1078,1431,2763,3221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,532,822,888,1550,2812,3204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,1393,1813,1820,2215,3392,3807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,1249,1696,1612,2091,3666,4092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,608,940,981,1677,3035,3359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,849,1206,1736,2180,2915,3149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,621,1013,1319,1912,2769,2973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,723,1178,1526,2208,3121,3313,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,683,1088,1214,2097,3460,3716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,275,603,385,1059,2921,3472,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_0,930,1348,1820,2299,2944,3115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_0,734,1066,1507,2286,2838,3020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25_0,563,861,1135,1449,2788,3292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26_0,628,958,1039,1674,2742,3103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27_0,749,1102,1429,1934,2890,3061,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28_0,390,708,682,1495,2705,3053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29_0,793,1221,1830,2350,3012,3228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30_0,760,1141,1521,2062,3190,3619,"{""type"":""MultiPoint"",""coordinates"":[]}"
