system:index,B2,B3,B4,.geo
1_0_0,822,1108,1742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.4986741433321,-12.598777562686971]}"
1_1_0,852,1046,1608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49858347268322,-12.598686097954348]}"
1_2_0,1016,1728,2812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49794141975282,-12.598587404534731]}"
1_3_0,484,724,992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.498022276160455,-12.59940094959045]}"
1_4_0,572,949,1532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497386356953584,-12.59885095461497]}"
1_5_0,546,908,1100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497205016837825,-12.598668024487317]}"
1_6_0,1180,1732,2274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49958821075111,-12.599150648201235]}"
1_7_0,608,828,1266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49949631336354,-12.599149443825299]}"
1_8_0,581,803,956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49968133431736,-12.599061592364132]}"
1_9_0,2230,2858,2810,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49655437471137,-12.59920114705913]}"
1_10_0,420,744,896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.495545962299715,-12.599007366112076]}"
1_11_0,1570,1912,2368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49674921344273,-12.598391218722172]}"
1_12_0,1246,1628,2336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.496740623349666,-12.599023038018721]}"
1_13_0,540,822,896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497102076262955,-12.599479158727933]}"
1_14_0,654,963,1498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.495091388696316,-12.598640298087632]}"
1_15_0,660,893,1128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49625290658453,-12.60109298740531]}"
1_16_0,1018,1548,2186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49597844102234,-12.600999110387285]}"
1_17_0,674,968,1074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49634357680314,-12.601184452922865]}"
1_18_0,1080,1224,1446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49680429328499,-12.601100220972924]}"
1_19_0,1088,1352,1434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.4983958763092,-12.605725176458815]}"
1_20_0,628,1076,982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49866912080873,-12.605909312557635]}"
1_21_0,611,974,1082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.498300294705366,-12.60599475106271]}"
1_22_0,421,756,753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49904530904296,-12.605282313019247]}"
1_23_0,1346,1454,1944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497476880612,-12.60571312100617]}"
1_24_0,618,856,1078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.502307108567166,-12.608755571675596]}"
1_25_0,725,1028,1266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50083423896302,-12.608916818859656]}"
1_26_0,799,1206,2036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.500377187907404,-12.608730273852451]}"
1_27_0,782,1250,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.500472769334884,-12.608460698242489]}"
1_28_0,1318,1264,1540,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50038086854224,-12.608459493296028]}"
1_29_0,1302,1736,2430,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.501288837620415,-12.609283883794124]}"
1_30_0,1050,1116,1758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50165153630329,-12.609649743664315]}"
1_31_0,1702,2096,2548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50119570978802,-12.609372939310758]}"
1_32_0,676,990,1804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50118957631687,-12.609824240598662]}"
1_33_0,893,1226,1294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.500461727462415,-12.60927303997226]}"
1_34_0,994,1302,1658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50247496993348,-12.609931365263776]}"
1_35_0,723,1066,1282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50285238498568,-12.60921409918818]}"
1_36_0,1378,1796,2410,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.5015682207329,-12.609016716944138]}"
1_37_0,856,1236,1574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.500374734103346,-12.608910794219774]}"
1_38_0,1744,2010,2546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50293202539296,-12.61011790761791]}"
1_39_0,1330,1652,2070,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49998381491625,-12.610620916609262]}"
1_40_0,1404,1628,1860,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.499889458877966,-12.61080023153954]}"
1_41_0,1684,2016,2756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.502829087858196,-12.610929047055656]}"
1_42_0,958,1560,2454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50163436383117,-12.610913387817039]}"
1_43_0,871,1252,1356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49979264801912,-12.611160066624015]}"
1_44_0,1486,1806,2940,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50219558625126,-12.610198533036804]}"
1_45_0,845,1316,2008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50201055662414,-12.610286384303581]}"
1_46_0,1036,1498,1808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.501432158172385,-12.61226488225546]}"
1_47_0,2280,2776,3428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50142970439696,-12.612445402779718]}"
1_48_0,596,975,1536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50142356979221,-12.612896704077658]}"
1_49_0,849,1032,998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50095914904981,-12.613251719429753]}"
1_50_0,460,794,1106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.50123608379598,-12.613165074690738]}"
1_51_0,868,1218,1664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49875594630175,-12.61304226524046]}"
1_52_0,534,861,1402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.500688350312224,-12.612887062907276]}"
1_53_0,520,940,1344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.497743793748015,-12.613119257766197]}"
1_54_0,694,1098,1570,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.496735327441634,-12.612925466877824]}"
1_55_0,1054,1330,1620,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.492616599993866,-12.61837816711149]}"
1_56_0,948,1202,2170,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49142185454046,-12.618362453090832]}"
1_57_0,1238,1592,2004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49445713292501,-12.618221813036884]}"
1_58_0,500,836,1360,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49426348539014,-12.618941473341865]}"
1_59_0,1038,1398,1570,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49297560089736,-12.619014816919922]}"
1_60_0,738,1080,1106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49180177658174,-12.617464695844017]}"
1_61_0,702,1108,1192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49188998746642,-12.617736682492257]}"
1_62_0,1206,1874,2866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.4940981283742,-12.617585164521886]}"
1_63_0,625,948,1120,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.49381872787207,-12.61785231889899]}"
1_64_0,543,930,1096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.4935528587705,-12.617126618746083]}"
